"attempt_id","attempt_order","transition_label","DGP","replication","chain","sentinel","profile","ok","fit_elapsed_seconds","peak_RSS_KiB","reproducibility_eligible","runtime_tree_digest"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S03",103,1,FALSE,"standard",TRUE,2415.057,649748,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S03",192,1,FALSE,"standard",TRUE,2525.869,642468,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",193,1,TRUE,"A",TRUE,2603.071,645564,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",193,2,TRUE,"B",TRUE,2397.793,691588,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",193,3,TRUE,"C",TRUE,2702.147,680628,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",193,4,TRUE,"D",TRUE,2684.661,678764,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",16,1,TRUE,"A",TRUE,2632.493,643384,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",16,2,TRUE,"B",TRUE,2498.607,707504,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",16,3,TRUE,"C",TRUE,2307.592,706816,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S04",16,4,TRUE,"D",TRUE,2586.81,706776,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S03",20,1,TRUE,"A",TRUE,2427.785,638092,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S03",20,2,TRUE,"B",TRUE,2523.229,682000,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
"symmetric_rootwise_two_ASIS",3,"symmetric rootwise partial collapse + two ASIS cycles","S03",20,3,TRUE,"C",TRUE,2589.552,676776,FALSE,"7eaa52523968a3f5c7546a4fee989db61c89e195ae416b706f776422faf93f2b"
