"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","fixed_design","SH","width_0601",4,6000,1.00118718685415,1884.26091796886,2530.39812886215,0.00544335581794598,0.231129326747226,0.023551125660047,TRUE
"posterior","fixed_design","SH","midpoint_0601",4,6000,1.0008275585251,2347.88348963809,3615.79995951755,0.00243173718177943,0.115091490953514,0.0211287312522663,TRUE
"posterior","fixed_design","SH","lower_0721",4,6000,1.00054276471086,4588.38186022758,10361.6984729615,0.00160601959014735,0.108471875641003,0.0148058617098371,TRUE
"posterior","fixed_design","SH","upper_0721",4,6000,1.00131723779684,1751.63911206662,2622.40065777053,0.00404501454468695,0.167293885633075,0.0241790937509746,TRUE
"posterior","fixed_design","SH","width_0721",4,6000,1.00127521575177,1876.19330866447,2738.70354728574,0.00465056522416749,0.19958309438348,0.0233013985404589,TRUE
"posterior","fixed_design","SH","midpoint_0721",4,6000,1.00132474177539,2448.78123526169,3894.32694844235,0.0020365290191453,0.0995908785819443,0.0204489512307056,TRUE
"posterior","fixed_design","SH","lower_0841",4,6000,1.00102409650837,3596.50594847596,9757.00090105346,0.00194612228136597,0.116181592362182,0.0167506938216096,TRUE
"posterior","fixed_design","SH","upper_0841",4,6000,1.00145808489115,1607.27825010786,2983.87820139036,0.00436500925729092,0.174579531110814,0.0250029841958977,TRUE
"posterior","fixed_design","SH","width_0841",4,6000,1.0011892524215,1645.15350581723,3006.4675342803,0.00524640344090272,0.212516630599654,0.0246870253217315,TRUE
"posterior","fixed_design","SH","midpoint_0841",4,6000,1.00224981271162,2389.8924260419,4427.91312606285,0.00212912674996044,0.103427549390791,0.0205856830457785,TRUE
"posterior","fixed_design","SH","lower_0848",4,6000,1.00103745663518,3580.5009915921,9555.71203643373,0.00196924649605518,0.117322294061676,0.0167849300237853,TRUE
"posterior","fixed_design","SH","upper_0848",4,6000,1.00149566228659,1598.66506201121,3002.0888145774,0.00441760943876448,0.176196235801859,0.0250720988371867,TRUE
"posterior","fixed_design","SH","width_0848",4,6000,1.00131855525183,1634.25693168247,2992.541817908,0.00531706095613404,0.21466257879829,0.0247693891776557,TRUE
"posterior","fixed_design","SH","midpoint_0848",4,6000,1.00228465121047,2385.08612388278,4384.65851209268,0.00214984973865942,0.104330299593341,0.0206061877234045,TRUE
"posterior","fixed_design","SH","lower_0961",4,6000,1.00100334536983,3612.2001331381,9298.01485738041,0.00217164303215236,0.13033815483637,0.0166616063797949,TRUE
"posterior","fixed_design","SH","upper_0961",4,6000,1.00194550456046,1498.86443998922,3169.64642499269,0.00517141544560121,0.197699425266962,0.0261579690412252,TRUE
"posterior","fixed_design","SH","width_0961",4,6000,1.00188932978666,1538.53982057619,3064.59472040525,0.00617087440328035,0.241591844141973,0.0255425609469416,TRUE
"posterior","fixed_design","SH","midpoint_0961",4,6000,1.00250393528592,2273.8735763187,4642.15954046542,0.0024456954991512,0.115952118952344,0.0210922881034746,TRUE
"posterior","fixed_design","SH","lower_1081",4,6000,1.0005962874584,4074.1994969524,8364.22168666884,0.00181854270721352,0.116055823884031,0.0156695514826615,TRUE
"posterior","fixed_design","SH","upper_1081",4,6000,1.00224430653552,1457.59573768823,3123.4462511243,0.00467389772226982,0.176961139991464,0.0264120005244952,TRUE
"posterior","fixed_design","SH","width_1081",4,6000,1.00162053801031,1555.89190621349,3185.23499996211,0.00550108566085507,0.216075937853953,0.0254590386856184,TRUE
"posterior","fixed_design","SH","midpoint_1081",4,6000,1.00221556157639,2217.05673208879,4784.59768387254,0.00221053500320065,0.103536935111937,0.0213502070619607,TRUE
"posterior","fixed_design","SH","lower_1200",4,6000,1.00030600515791,5006.7283798315,8665.09291474661,0.00148461558832028,0.105141585308386,0.0141201560159647,TRUE
