"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel"
"future_h05_width",1,NA,956.927547635556,2000.98677541037,0.00769504935920133,0.0322853370592829,TRUE,"S03",165,FALSE
"future_h10_lower",1,NA,834.553108786476,1939.93847980013,0.00647848507531071,0.0346280798133145,TRUE,"S03",165,FALSE
"future_h10_upper",1,NA,1197.95372414451,2174.62736375479,0.00427391384189772,0.0288175378794803,TRUE,"S03",165,FALSE
"future_h10_midpoint",1,NA,930.205028346374,1697.29553310673,0.00391958331776763,0.0327810405985437,TRUE,"S03",165,FALSE
"future_h10_width",1,NA,956.927547635556,2000.98677541037,0.00769504935920133,0.0322853370592829,TRUE,"S03",165,FALSE
"future_h20_lower",1,NA,834.553108786476,1939.93847980013,0.00647848507531071,0.0346280798133145,TRUE,"S03",165,FALSE
"future_h20_upper",1,NA,1197.95372414451,2174.62736375479,0.00427391384189772,0.0288175378794803,TRUE,"S03",165,FALSE
"future_h20_midpoint",1,NA,930.205028346374,1697.29553310673,0.00391958331776763,0.0327810405985437,TRUE,"S03",165,FALSE
"future_h20_width",1,NA,956.927547635556,2000.98677541037,0.00769504935920133,0.0322853370592829,TRUE,"S03",165,FALSE
"mean_lower",1,NA,543.416084513336,904.706422565091,0.00357588971542269,0.043117343064357,TRUE,"S03",89,FALSE
"mean_upper",1,NA,483.916851378182,1116.78836615347,0.00351540244939123,0.0451142051834069,TRUE,"S03",89,FALSE
"mean_midpoint",1,NA,535.104045749865,1046.02594610999,0.00243866981699634,0.0433460584291234,TRUE,"S03",89,FALSE
"mean_width",1,NA,468.559313300812,1045.72114834551,0.0052667255271733,0.0457736160856783,TRUE,"S03",89,FALSE
"observed_loss",1,NA,1306.38391324986,2073.88912046964,0.084279178389418,0.0281138092091161,TRUE,"S03",89,FALSE
"training_t0001_lower",1,NA,1070.0369005391,2208.93272009121,0.0080081639723716,0.0308565388547093,TRUE,"S03",89,FALSE
"training_t0001_upper",1,NA,2130.22725332914,3641.0392651881,0.00653080011345871,0.0216768494501775,TRUE,"S03",89,FALSE
"training_t0001_midpoint",1,NA,1462.97663982663,2586.129308138,0.0052226430999639,0.0261273213558717,TRUE,"S03",89,FALSE
"training_t0001_width",1,NA,1509.50311653728,2364.05529362339,0.010198672060584,0.0257866003519867,TRUE,"S03",89,FALSE
"training_t0050_lower",1,NA,816.269193941411,1232.0372630011,0.00495473676911108,0.0351240638765673,TRUE,"S03",89,FALSE
"training_t0050_upper",1,NA,664.804119509591,1294.91932844156,0.0042026598886166,0.0385541200642583,TRUE,"S03",89,FALSE
